,ai_pred,huma_pred,mines,metadata
0,0.29455195522760735,0.21704612205661464,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 26.971757296868216, 'wind_speed': 17.557305821851024, 'visibility': 95.9191916748694, 'precipitation': 0.0}"
1,0.08561245987618105,0.13180953324585307,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 20.422974071718503, 'wind_speed': 16.920772360033517, 'visibility': 96.12937005329354, 'precipitation': 0.0}"
2,0.11920292202211755,0.1089412346764017,1.0,"{'terrain': 'Grassy', 'time': 6, 'temperature': 18.736151903112606, 'wind_speed': 16.37628636629586, 'visibility': 92.18233281572445, 'precipitation': 0.0}"
3,0.11920292202211755,0.1089412346764017,1.0,"{'terrain': 'Grassy', 'time': 6, 'temperature': 18.736151903112606, 'wind_speed': 16.37628636629586, 'visibility': 92.18233281572445, 'precipitation': 0.0}"
4,0.4490783792964309,0.3398575176916836,1.0,"{'terrain': 'Swampy', 'time': 6, 'temperature': 20.947173194871695, 'wind_speed': 10.136659737976013, 'visibility': 77.94747240952651, 'precipitation': 0.0}"
5,0.66595099007902,0.05305210524836067,1.0,"{'terrain': 'Swampy', 'time': 6, 'temperature': 20.331713697771416, 'wind_speed': 6.278852287591034, 'visibility': 76.14213544172925, 'precipitation': 0.0}"
6,0.3724703861983123,0.1533835533150898,1.0,"{'terrain': 'Swampy', 'time': 6, 'temperature': 22.844388376430274, 'wind_speed': 9.647142111460154, 'visibility': 78.95406605287417, 'precipitation': 0.0}"
7,0.1447117062900984,0.11212705928784937,1.0,"{'terrain': 'Grassy', 'time': 6, 'temperature': 17.67889172139365, 'wind_speed': 19.732551309732468, 'visibility': 79.61079591431378, 'precipitation': 7.1037835150954}"
8,0.8070753905495879,0.852093647709278,2.0,"{'terrain': 'Rocky', 'time': 6, 'temperature': 17.131307265223814, 'wind_speed': 22.2952108369266, 'visibility': 93.12863892129604, 'precipitation': 0.0}"
9,0.6723769197283549,0.7223486451497935,1.0,"{'terrain': 'Swampy', 'time': 6, 'temperature': 23.516821882507458, 'wind_speed': 10.391539695309756, 'visibility': 53.50974292659076, 'precipitation': 4.7298270971391}"
10,0.16862406006187447,0.06072582355149167,1.0,"{'terrain': 'Wooded', 'time': 6, 'temperature': 22.87404403563376, 'wind_speed': 11.586836251436656, 'visibility': 80.43895706335431, 'precipitation': 0.0}"
11,0.08475441782844995,0.14407802744989467,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 24.555450958360964, 'wind_speed': 17.83783353309618, 'visibility': 96.60359976723534, 'precipitation': 0.0}"
12,0.09881746537706793,0.07294897181054494,1.0,"{'terrain': 'Rocky', 'time': 6, 'temperature': 15.212932943884763, 'wind_speed': 16.776637939684612, 'visibility': 93.40771828704955, 'precipitation': 0.0}"
13,0.32835723807841344,0.13986546116383128,1.0,"{'terrain': 'Rocky', 'time': 6, 'temperature': 11.492021561519733, 'wind_speed': 15.135887382286283, 'visibility': 93.99654532955059, 'precipitation': 0.0}"
14,0.20968547393640402,0.36080171617681833,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 24.453909089241954, 'wind_speed': 19.681331280988335, 'visibility': 95.53994971364783, 'precipitation': 0.0}"
15,0.10937167169094082,0.24152726411078468,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 22.778124745302303, 'wind_speed': 18.150688614726977, 'visibility': 95.22014227280728, 'precipitation': 0.0}"
16,0.4516979521667274,0.9376874055255797,2.0,"{'terrain': 'Swampy', 'time': 6, 'temperature': 21.955661213956425, 'wind_speed': 7.912466173608103, 'visibility': 81.25396940083829, 'precipitation': 0.0}"
17,0.9663907105031511,0.8765670113364967,2.0,"{'terrain': 'Rocky', 'time': 6, 'temperature': 11.565585339545057, 'wind_speed': 20.721156535410113, 'visibility': 95.23459614259818, 'precipitation': 0.0}"
18,0.3286962379694561,0.13145786450597316,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 26.097139682640833, 'wind_speed': 19.527647878875506, 'visibility': 93.89458948216001, 'precipitation': 0.0}"
19,0.3286962379694561,0.13145786450597316,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 26.097139682640833, 'wind_speed': 19.527647878875506, 'visibility': 93.89458948216001, 'precipitation': 0.0}"
20,0.3286962379694561,0.13145786450597316,1.0,"{'terrain': 'Sandy', 'time': 6, 'temperature': 26.097139682640833, 'wind_speed': 19.527647878875506, 'visibility': 93.89458948216001, 'precipitation': 0.0}"
